shopName,name,imageSrc
baan-Ying,ข้าว+กะเพรากุ้ง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3UWFWBAA/detail/d7c50ae2157f40cab4d1922066acc612_1588676812615235738.webp
baan-Ying,ข้าวผัดสัปปะรด,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3WCX43LT/detail/99ab6d3014c943b79eed95207f096566_1588676815896913731.webp
baan-Ying,ข้าวผัดเนื้อเค็ม,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021100808484667941/detail/menueditor_item_93d654a5ec8b4cb9af6df66d77669cf7_1633682903830395878.webp
mister-joe,ก๋วยจั๊บน้ำใสใส่ทุกอย่าง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20191226051657014120/detail/d899e7d831984152a31ed2eb1ad1ca8b_1624642543130064355.webp
RongsiPochana,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CY5XC333LKNVV2-CY5XC34KJKKAKE/detail/ad845e21600a4609971e07a67cde8105_1598462840924804443.webp
baan-Ying,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3JGFDBUE/detail/baff39809cca4f6d98161d6ce1607d90_1588676802680931205.webp
baan-Ying,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3TN2KKAA/detail/37381457d17348499a633e08a385475e_1588676809148939211.webp
baan-Ying,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3WVUTKN6/detail/de97bc068de54068a55f08a81807bb4b_1588676818085090752.webp
coco-ichobanya,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20230223111349024934/detail/daf58621bdc24e47a8cb6c4856fe50c9_1677150829668961675.webp
coffee-bean-by-dao,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE202004201609361256325/detail/menueditor_item_1ad81951313c496c9bd4df002c441ab3_1618242405839006408.webp
coffee-bean-by-dao,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20200420160936934404/detail/menueditor_item_f95422e20d2b4af3b18ace95fb128a5f_1618244683696725632.webp
ekkamai-macchiato,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021052809335031763/detail/menueditor_item_ae04a676b0634f0e8a32ca6dbea3558f_1689088957264764633.webp
ekkamai-macchiato,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20210222034121124079/detail/menueditor_item_dc5973264456489eb17628ef2d29eec7_1689089361560059732.webp
ekkamai-macchiato,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20210222034120125430/detail/menueditor_item_e91767edb440447db4c230f4ead3a23c_1689089470927480383.webp
ekkamai-macchiato,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20210125051827012160/detail/menueditor_item_9410e9b4065d4e838c20964f2f303f64_1611583036608706771.webp
ekkamai-macchiato,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20210125051817013872/detail/menueditor_item_ea014d1a80f84fb5bb97a260426b09b4_1611583061809713378.webp
kruakinkrata,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023070307341065275/detail/menueditor_item_824f0cfe43e740348b8274221465d9dd_1688369596683893596.webp
kruakinkrata,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023070308463447587/detail/menueditor_item_731a05ac99a740d99fd560546d8b3ed2_1688373949644955817.webp
kruakinkrata,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023070309002965302/detail/menueditor_item_66348068acba47728f67944a83e67341_1688374750579019762.webp
kub-kao-kub-pla,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20220925161111989359/detail/52947b6145e6491285f3e9f30b7637c6_1664122271964992130.webp
kub-kao-kub-pla,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20220925161112184090/detail/eca70839da3e4e89aa86296dfc6fd1be_1664122272186254677.webp
kub-kao-kub-pla,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211021170613049096/detail/f3b6e7f700ad4118b6e79780ecbfa203_1634835971152464005.webp
kub-kao-kub-pla,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211021175234597672/detail/f852de2944de46b0ac81674c5bdb9bb3_1634838746699844856.webp
kub-kao-kub-pla,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211021175123495162/detail/82d6d1b691ec46528445641b5b577800_1634838667276858569.webp
kub-kao-kub-pla,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211021174917393115/detail/8feadd6da1e3495e970f86edb19f245e_1634838548137883947.webp
kub-kao-kub-pla,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20201118015219131661/detail/b7b97fc1a0cc4b399df23f0df03e86fd_1634840673888131315.webp
kub-kao-kub-pla,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20201001020428305776/detail/540237a5540849899cf5984924cbb5f8_1634840850492284965.webp
kub-kao-kub-pla,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20201001020428167626/detail/b856323762be4cedb2a715b6f342e14b_1634840908386896107.webp
kub-kao-kub-pla,หมูกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211021183657374843/detail/385f34f51a674df08d004f66e7d8f304_1634841411354993909.webp
